"Format","AiM CSV File"
"Session","Perimeter"
"Vehicle",""
"Racer",""
"Championship",""
"Comment",""
"Date","Saturday, September 27, 2025"
"Time","12:27 PM"
"Sample Rate","20"
"Duration","143.996"
"Segment","Session"
"Beacon Markers","21.471","43.357","63.265","83.041","102.566","122.023","143.996"
"Segment Times","0:21.471","0:21.886","0:19.908","0:19.776","0:19.525","0:19.457","0:21.973"

"Time","GPS Speed","GPS Nsat","GPS LatAcc","GPS LonAcc","GPS Slope","GPS Heading","GPS Gyro","GPS Altitude","GPS PosAccuracy","GPS SpdAccuracy","GPS Radius","GPS Latitude","GPS Longitude","Predictive Time","Prev Lap Diff","Temp","AccelerometerX","AccelerometerY","AccelerometerZ","GyroX","GyroY","GyroZ","Logger Temperature","Internal Batt","RPM","Steering Angle","Throttle","BrakePressure","Distance on GPS Speed"
"s","mph"," ","g","g","deg","deg","deg/s","ft","ft","mph","mi","deg","deg"," "," ","°F","g","g","g","deg/s","deg/s","deg/s","°F","V","rpm","deg","%","bar","mi"

"0.000","0.1450","15","0.0000","0.0000","-5.9102","-164.1079","0.0000","646.4407","0.0230","0.1300","6.2137","42.83807235","-78.68762009","0.0000","0.0000","162.3875","-0.0387","-0.1015","-0.9653","-1.2148","-0.8779","-2.3574","78.7156","4.0140","1271.0000","-0.7856","6.3555","91.6250","0.0000"
"0.050","0.1450","15","0.0000","0.0000","-5.9102","-164.1079","0.0000","646.4407","0.0230","0.1300","6.2137","42.83807235","-78.68762009","0.0000","0.0000","162.3875","-0.0423","-0.1015","-0.9670","-1.2148","-0.8779","-2.3574","78.7156","4.0140","1271.0000","-0.7856","6.3555","91.6250","0.0000"
"0.100","0.1450","15","0.0000","0.0000","-5.9102","-164.1079","0.0000","646.4407","0.0230","0.1300","6.2137","42.83807235","-78.68762009","0.0000","0.0000","162.3875","-0.0405","-0.1052","-0.9697","-1.2148","-0.8779","-2.3574","78.7156","4.0140","1271.0000","-0.7856","6.3555","91.6250","0.0000"
"0.150","0.1450","15","0.0000","0.0000","-5.9102","-164.1079","0.0000","646.4407","0.0230","0.1300","6.2137","42.83807235","-78.68762009","0.0000","0.0000","162.3875","-0.0434","-0.0970","-0.9656","-1.2148","-0.8779","-2.3574","78.7156","4.0140","1271.0000","-0.7856","6.3555","91.6250","0.0000"
"0.200","0.1450","15","0.0000","0.0000","-5.9102","-164.1079","0.0000","646.4407","0.0230","0.1300","6.2137","42.83807235","-78.68762009","0.0000","0.0000","162.3875","-0.0436","-0.1002","-0.9673","-1.2148","-0.8779","-2.3574","78.7156","4.0140","1271.0000","-0.7856","6.3555","91.6250","0.0000"
"0.250","0.1450","15","0.0000","0.0000","-5.9102","-164.1079","0.0000","646.4407","0.0230","0.1300","6.2137","42.83807235","-78.68762009","0.0000","0.0000","162.3875","-0.0431","-0.0996","-0.9661","0.7294","-3.2210","0.3794","78.7156","4.0140","1271.0000","-0.7856","6.3555","91.6250","0.0000"
"0.300","0.1395","15","0.0000","0.0000","-4.6435","-95.8993","0.0000","646.4417","0.0230","0.1300","6.2137","42.83807235","-78.68762007","0.0000","0.0000","162.3875","-0.0414","-0.0958","-0.9663","-3.6318","-1.0243","-2.1254","78.7156","4.0140","1271.0000","-0.8109","6.3555","91.6250","0.0000"
"0.350","0.0739","15","0.0000","0.0000","3.7807","119.4257","0.0000","646.4454","0.0230","0.1252","6.2137","42.83807234","-78.68761997","0.0000","0.0000","162.3875","-0.0401","-0.1016","-0.9683","-2.2891","0.5985","-2.7313","78.7156","4.0140","1253.9800","-0.7391","6.3555","91.6250","0.0000"
