Latitude,Longitude,Speed_mph,Time_seconds,Point_Index
42.83789129,-78.68884213,29.8271,224.8,116
42.83789214,-78.68884971,29.3213,224.85,117
42.83789278,-78.68885715,28.7634,224.9,118
42.83789313,-78.68886436,28.0673,224.95,119
42.83789337,-78.68887153,27.4679,225.0,120
42.83789352,-78.68887836,26.6818,225.05,121
42.83789374,-78.68888519,26.2495,225.1,122
42.83789397,-78.68889207,25.9346,225.15,123
42.8378943,-78.68889896,25.7307,225.2,124
42.83789448,-78.68890573,25.5039,225.25,125
42.83789412,-78.68891233,25.2258,225.3,126
42.83789316,-78.68891885,24.7192,225.35,127
42.83789195,-78.68892498,24.0903,225.4,128
42.83789054,-78.68893133,24.0367,225.45,129
42.83788912,-78.68893769,24.1007,225.5,130
42.83788764,-78.68894364,23.6727,225.55,131
42.83788594,-78.68894929,23.2026,225.6,132
42.83788412,-78.68895492,22.8104,225.65,133
42.83788213,-78.68896044,22.5195,225.7,134
42.83787952,-78.68896548,22.1577,225.75,135
42.83787643,-78.68897033,21.8245,225.8,136
42.83787322,-78.68897493,21.6791,225.85,137
42.83786962,-78.68897916,21.5252,225.9,138
42.83786516,-78.68898284,21.5325,225.95,139
42.83786126,-78.68898599,21.23,226.0,140
42.83785725,-78.6889889,20.9353,226.05,141
42.83785342,-78.68899196,20.8569,226.1,142
42.83784975,-78.68899489,20.7091,226.15,143
42.83784639,-78.68899748,20.161,226.2,144
42.83784289,-78.68899944,19.4627,226.25,145
42.83783893,-78.68900096,19.3253,226.3,146
42.83783475,-78.68900222,19.4873,226.35,147
42.83783082,-78.68900324,19.5067,226.4,148
42.83782685,-78.68900426,19.5424,226.45,149
42.83782304,-78.68900491,19.3854,226.5,150
42.83781938,-78.68900534,19.2367,226.55,151
42.83781563,-78.68900544,19.1165,226.6,152
42.83781186,-78.68900494,18.9873,226.65,153
42.83780803,-78.68900412,19.0404,226.7,154
42.83780417,-78.68900337,19.1754,226.75,155
42.83780033,-78.68900238,19.2925,226.8,156
42.83779654,-78.68900075,19.4141,226.85,157
42.83779283,-78.68899892,19.5401,226.9,158
42.83778943,-78.68899709,19.3173,226.95,159
42.83778624,-78.68899485,19.0882,227.0,160
42.83778338,-78.68899223,18.7565,227.05,161
42.8377806,-78.68898929,18.4926,227.1,162
42.83777789,-78.68898623,18.3972,227.15,163
42.83777512,-78.68898289,18.4468,227.2,164
42.83777272,-78.68897939,18.2638,227.25,165
42.83777051,-78.68897581,18.1277,227.3,166
42.83776838,-78.68897199,18.0537,227.35,167
42.83776614,-78.68896794,18.2645,227.4,168
42.83776431,-78.6889633,18.5806,227.45,169
42.83776299,-78.68895883,18.4022,227.5,170
42.83776166,-78.68895403,18.5718,227.55,171
42.83776038,-78.68894872,19.2829,227.6,172
42.8377591,-78.68894328,19.8798,227.65,173
42.8377579,-78.68893794,20.1612,227.7,174
42.8377567,-78.68893253,20.3662,227.75,175
42.83775557,-78.68892723,20.6084,227.8,176
42.8377543,-78.68892166,20.9252,227.85,177
42.83775332,-78.68891609,21.1292,227.9,178
42.83775246,-78.6889105,21.1541,227.95,179
42.83775172,-78.68890484,21.3989,228.0,180
42.83775084,-78.68889895,21.7572,228.05,181
42.83775013,-78.6888929,22.1732,228.1,182
42.83774941,-78.68888671,22.5564,228.15,183
42.83774858,-78.68888054,22.7721,228.2,184
42.83774798,-78.68887446,22.9161,228.25,185
42.83774738,-78.68886815,23.1064,228.3,186
42.83774689,-78.68886179,23.3429,228.35,187
42.83774627,-78.68885532,23.5856,228.4,188
42.83774556,-78.68884879,23.7188,228.45,189
42.83774509,-78.68884219,23.9959,228.5,190
42.83774451,-78.68883548,24.382,228.55,191
42.83774396,-78.6888288,24.4413,228.6,192
42.83774328,-78.68882204,24.5495,228.65,193
42.83774269,-78.68881503,24.9647,228.7,194
42.83774205,-78.68880804,25.2609,228.75,195
42.83774137,-78.68880119,25.4197,228.8,196
42.83774062,-78.68879381,25.8511,228.85,197
42.83773987,-78.68878659,26.1584,228.9,198
42.83773903,-78.6887793,26.3984,228.95,199
42.83773846,-78.68877204,26.5347,229.0,200
42.83773786,-78.68876475,26.6226,229.05,201
42.83773702,-78.68875715,27.098,229.1,202
42.83773621,-78.68874967,27.2813,229.15,203
42.83773552,-78.68874216,27.4667,229.2,204
42.83773474,-78.68873451,27.7896,229.25,205
42.83773391,-78.68872673,28.0412,229.3,206
42.83773302,-78.68871896,28.2708,229.35,207
42.83773215,-78.68871121,28.4306,229.4,208
42.83773121,-78.68870333,28.6673,229.45,209
42.83773036,-78.68869533,29.013,229.5,210
42.83772954,-78.68868733,29.209,229.55,211
42.83772873,-78.68867923,29.4569,229.6,212
42.83772783,-78.68867108,29.8272,229.65,213
42.83772703,-78.68866282,29.9345,229.7,214
42.83772623,-78.68865471,30.0746,229.75,215
42.83772547,-78.68864652,30.2121,229.8,216
42.83772454,-78.68863812,30.4914,229.85,217
42.83772356,-78.6886296,30.8406,229.9,218
42.83772265,-78.68862113,31.0924,229.95,219
42.83772191,-78.68861259,31.2107,230.0,220
42.83772092,-78.68860416,31.2916,230.05,221
42.83772009,-78.6885957,31.3604,230.1,222
42.83771936,-78.68858706,31.6026,230.15,223
42.83771845,-78.68857832,31.9614,230.2,224
42.83771766,-78.68856955,32.1242,230.25,225
42.83771677,-78.68856073,32.3138,230.3,226
42.8377159,-78.68855196,32.4578,230.35,227
42.83771504,-78.68854307,32.5719,230.4,228
42.83771407,-78.6885341,32.7753,230.45,229
42.83771318,-78.68852517,32.9468,230.5,230
42.8377122,-78.68851606,33.2291,230.55,231
42.83771126,-78.68850699,33.3247,230.6,232
42.83771028,-78.68849797,33.3532,230.65,233
42.83770936,-78.68848873,33.5762,230.7,234
42.83770829,-78.68847943,33.957,230.75,235
42.83770716,-78.68847013,34.2588,230.8,236
42.83770621,-78.68846063,34.6767,230.85,237
42.83770507,-78.68845122,34.85,230.9,238
42.83770403,-78.68844202,34.5435,230.95,239
42.83770297,-78.68843281,34.2093,231.0,240
42.83770189,-78.68842335,34.6543,231.05,241
42.83770073,-78.6884137,35.161,231.1,242
42.83769958,-78.68840402,35.5144,231.15,243
42.83769848,-78.68839444,35.4995,231.2,244
42.83769736,-78.68838492,35.4055,231.25,245
42.83769628,-78.68837524,35.6466,231.3,246
42.83769507,-78.68836553,35.8201,231.35,247
42.83769396,-78.68835584,35.96,231.4,248
42.83769281,-78.68834606,36.1878,231.45,249
42.83769161,-78.68833596,36.5736,231.5,250
42.83769031,-78.68832609,36.7348,231.55,251
42.83768916,-78.68831624,36.6625,231.6,252
42.83768803,-78.68830626,36.7994,231.65,253
42.83768678,-78.68829624,36.9278,231.7,254
42.83768553,-78.68828606,37.2585,231.75,255
42.83768423,-78.68827593,37.4482,231.8,256
42.83768314,-78.68826581,37.5319,231.85,257
42.83768195,-78.6882558,37.4234,231.9,258
42.83768069,-78.68824564,37.5672,231.95,259
42.83767948,-78.68823528,37.9615,232.0,260
42.83767812,-78.68822483,38.3159,232.05,261
42.83767691,-78.68821447,38.2937,232.1,262
42.83767585,-78.68820414,38.3013,232.15,263
42.83767468,-78.68819373,38.3114,232.2,264
42.83767353,-78.68818352,38.2991,232.25,265
42.83767234,-78.68817307,38.5644,232.3,266
42.83767137,-78.68816253,38.7616,232.35,267
42.83767052,-78.68815202,38.8147,232.4,268
42.83766979,-78.68814153,38.6237,232.45,269
42.83766896,-78.68813095,38.8488,232.5,270
42.8376683,-78.68812032,38.9583,232.55,271
42.83766806,-78.68810964,39.084,232.6,272
42.83766793,-78.68809892,39.0799,232.65,273
42.83766785,-78.68808809,39.1934,232.7,274
42.83766804,-78.68807745,39.1221,232.75,275
42.83766839,-78.68806711,38.7334,232.8,276
42.8376688,-78.68805661,38.634,232.85,277
42.83766964,-78.68804598,38.7354,232.9,278
42.83767054,-78.68803523,38.8743,232.95,279
42.83767147,-78.68802446,39.1074,233.0,280
42.8376726,-78.68801378,39.2673,233.05,281
42.83767388,-78.68800314,39.2695,233.1,282
42.8376752,-78.68799253,39.3657,233.15,283
42.83767659,-78.68798181,39.476,233.2,284
42.83767797,-78.68797106,39.6136,233.25,285
42.83767931,-78.68796024,39.7804,233.3,286
42.83768073,-78.68794948,39.8761,233.35,287
42.8376821,-78.6879386,40.0353,233.4,288
42.83768368,-78.68792794,39.9757,233.45,289
42.83768501,-78.68791709,40.1071,233.5,290
42.83768635,-78.68790639,39.9994,233.55,291
42.83768779,-78.68789593,39.598,233.6,292
42.83768919,-78.68788541,39.3619,233.65,293
42.83769055,-78.68787493,39.1347,233.7,294
42.83769194,-78.68786464,38.7288,233.75,295
42.83769337,-78.68785454,38.2892,233.8,296
42.83769465,-78.68784457,38.0357,233.85,297
42.83769614,-78.68783446,37.8132,233.9,298
42.8376974,-78.68782452,37.4775,233.95,299
42.8376986,-78.68781466,37.0727,234.0,300
42.83769977,-78.68780498,36.6859,234.05,301
42.83770085,-78.68779542,36.2382,234.1,302
42.83770178,-78.68778579,35.9748,234.15,303
42.83770265,-78.68777626,35.6767,234.2,304
42.83770331,-78.68776715,34.9931,234.25,305
42.83770363,-78.68775792,34.4587,234.3,306
42.83770382,-78.68774891,33.9797,234.35,307
42.83770386,-78.68774021,33.3374,234.4,308
42.83770382,-78.68773153,32.8657,234.45,309
42.83770362,-78.68772296,32.3296,234.5,310
42.83770341,-78.68771461,31.742,234.55,311
42.83770283,-78.68770642,31.1754,234.6,312
42.83770206,-78.68769827,30.6784,234.65,313
42.83770106,-78.68769063,29.9684,234.7,314
