Session,Session_Type,Best_Lap,Configs_Faster_Than_This,Fastest_Test_Config,Time_Gap_to_Fastest_Test
Race 23 Q1,Qualifying,0:19.563,5/6 configs,Config 4,+0.462s
Race 23 Q2,Qualifying,0:19.457,5/6 configs,Config 4,+0.356s
Race 23 Q3,Qualifying,0:19.573,5/6 configs,Config 4,+0.472s
