Latitude,Longitude,Speed_mph,Point_Index
42.83774916,-78.68862664,31.1168,479
42.83774818,-78.68861814,31.3823,480
42.83774708,-78.68860962,31.5716,481
42.83774604,-78.68860101,31.635,482
42.8377449,-78.68859234,31.8942,483
42.83774385,-78.68858351,32.3092,484
42.8377429,-78.68857474,32.4469,485
42.83774175,-78.68856593,32.5769,486
42.83774056,-78.68855715,32.6789,487
42.83773937,-78.68854816,33.0026,488
42.83773815,-78.68853934,33.1441,489
42.83773692,-78.68853025,33.435,490
42.83773569,-78.68852114,33.6414,491
42.83773438,-78.68851206,33.7047,492
42.83773327,-78.68850292,33.88,493
42.8377321,-78.68849369,33.9827,494
42.83773079,-78.68848451,34.1124,495
42.83772943,-78.68847525,34.2973,496
42.83772804,-78.68846585,34.5847,497
42.83772669,-78.68845655,34.7185,498
42.83772539,-78.68844717,34.8764,499
